,active_cases,author_number_beds,author_number_icu_beds,capacity_classification,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,dday_icu_beds,deaths,last_updated_cases,last_updated_number_beds,last_updated_number_icu_beds,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,number_beds,number_icu_beds,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,state_num_id,subnotification_rate,trust_classification,data_last_refreshed
0,24949.0,DataSUS,DataSUS,0,60746.0,1,BR,Brasil,384.0,estabilizando,52,20.16627044971796,91,1253.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,13.0,estabilizando,0.5289144593397009,0.2828988722499538,3104,240,3,1777225,1.08,0.84,0.98,estabilizando,2,RO,Rondônia,11,0.7171011277500462,3,2020-09-15 21:29:19
1,7183.0,DataSUS,DataSUS,0,26176.0,1,BR,Brasil,10.0,estabilizando,38,11.452091140503551,91,640.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,0.0,estabilizando,0.2607901942886947,0.29598997493734336,1001,58,3,881935,1.13,0.8200000000000001,0.98,estabilizando,1,AC,Acre,12,0.7040100250626566,3,2020-09-15 21:29:19
2,62146.0,DataSUS,DataSUS,0,127132.0,1,BR,Brasil,193.0,estabilizando,81,11.446227461922113,91,3892.0,2020-09-13,2020-06-01,2020-06-01,2020-09-04,2020-08-25,4.0,estabilizando,0.15441790842390707,0.13635636944989465,3718,267,3,4144597,1.06,0.84,0.96,estabilizando,1,AM,Amazonas,13,0.8636436305501054,3,2020-09-15 21:29:19
3,6930.0,DataSUS,DataSUS,0,45658.0,1,BR,Brasil,67.0,estabilizando,50,29.53309968783068,91,610.0,2020-09-13,2020-06-01,2020-06-01,2020-09-04,2020-08-25,0.0,estabilizando,0.2806387337580333,0.7591630591630592,1205,31,3,605761,1.05,0.79,0.94,estabilizando,3,RR,Roraima,14,0.24083694083694085,0,2020-09-15 21:29:19
4,51304.0,DataSUS,DataSUS,0,216318.0,1,BR,Brasil,1512.0,estabilizando,36,12.882917493183957,91,6387.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,19.0,estabilizando,0.19644618391663707,0.4224206349206349,9756,694,2,8602865,1.01,0.8300000000000001,0.93,estabilizando,2,PA,Pará,15,0.577579365079365,1,2020-09-15 21:29:19
5,5590.0,DataSUS,DataSUS,0,45955.0,1,BR,Brasil,102.0,estabilizando,34,18.445581396448752,91,680.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,2.0,estabilizando,0.11824090638749199,0.5688775510204082,774,41,2,845731,1.13,0.85,1.0,estabilizando,2,AP,Amapá,16,0.43112244897959184,1,2020-09-15 21:29:19
6,27316.0,DataSUS,DataSUS,0,60035.0,1,BR,Brasil,640.0,estabilizando,45,37.504784260070466,91,814.0,2020-09-13,2020-06-01,2020-06-01,2020-09-04,2020-08-25,15.0,estabilizando,0.5467725794822954,0.4611948051948052,2090,166,3,1572866,1.17,0.96,1.07,estabilizando,3,TO,Tocantins,17,0.5388051948051948,1,2020-09-15 21:29:19
7,27713.0,DataSUS,DataSUS,0,162998.0,1,BR,Brasil,415.0,estabilizando,9,9.465482225825742,91,3590.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,10.0,estabilizando,0.14557931450799633,0.52001332001332,9536,559,1,7075181,1.06,0.86,0.97,estabilizando,1,MA,Maranhão,21,0.47998667998668,1,2020-09-15 21:29:19
8,24019.0,DataSUS,DataSUS,0,87213.0,1,BR,Brasil,675.0,estabilizando,72,20.288846450307297,91,1988.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,15.0,estabilizando,0.3177292622845895,0.4786953242835596,5033,245,2,3273227,1.05,0.84,0.96,estabilizando,2,PI,Piauí,22,0.5213046757164403,1,2020-09-15 21:29:19
9,46410.0,DataSUS,DataSUS,0,225739.0,1,BR,Brasil,354.0,estabilizando,17,8.217187807638085,91,8698.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,12.0,estabilizando,0.20477267057946724,0.35808830958876425,12436,760,2,9132078,1.03,0.84,0.95,estabilizando,1,CE,Ceará,23,0.6419116904112357,2,2020-09-15 21:29:19
10,13725.0,DataSUS,DataSUS,0,64812.0,1,BR,Brasil,359.0,estabilizando,132,6.4701885137472255,91,2306.0,2020-09-10,2020-06-01,2020-06-01,2020-09-04,2020-08-22,6.0,estabilizando,0.11121082064175486,0.30899817850637523,5014,418,2,3506853,1.06,0.8,0.95,estabilizando,1,RN,Rio Grande do Norte,24,0.6910018214936248,2,2020-09-15 21:29:19
11,26754.0,DataSUS,DataSUS,0,113163.0,1,BR,Brasil,202.0,estabilizando,48,12.291796650528966,91,2639.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,12.0,estabilizando,0.3160676603800726,0.3855837563451777,5439,450,2,4018127,1.01,0.79,0.91,estabilizando,1,PB,Paraíba,25,0.6144162436548223,2,2020-09-15 21:29:19
12,54773.0,DataSUS,DataSUS,0,136853.0,1,BR,Brasil,181.0,estabilizando,10,6.626507221720964,91,7888.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,14.0,estabilizando,0.2500766186627681,0.2499585612464777,16176,1378,3,9557071,1.13,0.93,1.04,estabilizando,1,PE,Pernambuco,26,0.7500414387535224,3,2020-09-15 21:29:19
13,17750.0,DataSUS,DataSUS,0,82324.0,0,BR,Brasil,102.0,estabilizando,46,7.4400191528805575,91,1977.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,6.0,estabilizando,0.2097468146200721,0.4256801423849479,4182,265,1,3337357,0.98,0.75,0.87,estabilizando,1,AL,Alagoas,27,0.5743198576150521,1,2020-09-15 21:29:19
14,19089.0,DataSUS,DataSUS,0,75046.0,0,BR,Brasil,213.0,estabilizando,53,7.456401368428012,91,1956.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,7.0,estabilizando,0.3610742786344954,0.280632603406326,2573,248,3,2298696,0.95,0.71,0.84,estabilizando,1,SE,Sergipe,28,0.7193673965936741,3,2020-09-15 21:29:19
15,91416.0,DataSUS,DataSUS,0,278629.0,1,BR,Brasil,847.0,estabilizando,51,10.733497818606844,91,5960.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,37.0,estabilizando,0.2918026843695421,0.4513094707658794,19955,1447,1,14873064,1.02,0.87,0.95,estabilizando,1,BA,Bahia,29,0.5486905292341206,1,2020-09-15 21:29:19
16,119066.0,DataSUS,DataSUS,0,245487.0,1,BR,Brasil,0.0,estabilizando,67,12.238299296355658,91,6060.0,2020-09-13,2020-06-01,2020-06-01,2020-09-04,2020-08-25,0.0,estabilizando,0.2735158564322356,0.3535864978902953,31183,3175,2,21168791,1.05,0.9,0.98,estabilizando,1,MG,Minas Gerais,31,0.6464135021097047,2,2020-09-15 21:29:19
17,28124.0,DataSUS,DataSUS,0,118444.0,1,BR,Brasil,725.0,estabilizando,9,15.452950617744765,91,3326.0,2020-09-13,2020-06-01,2020-06-01,2020-09-04,2020-08-25,14.0,estabilizando,0.3633060853769301,0.4480947806596221,5676,754,2,4018650,1.03,0.8200000000000001,0.93,estabilizando,2,ES,Espírito Santo,32,0.551905219340378,1,2020-09-15 21:29:19
18,133730.0,DataSUS,DataSUS,0,240776.0,1,BR,Brasil,323.0,estabilizando,49,6.643520340611607,91,16985.0,2020-09-12,2020-06-01,2020-06-01,2020-09-04,2020-08-24,102.0,estabilizando,0.3799607099774381,0.2343823221945857,24479,4319,3,17264943,1.03,0.86,0.96,estabilizando,1,RJ,Rio de Janeiro,33,0.7656176778054142,3,2020-09-15 21:29:19
19,318924.0,DataSUS,DataSUS,0,893183.0,1,BR,Brasil,1092.0,estabilizando,48,11.705164015918536,91,32642.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,36.0,estabilizando,0.4009229372324327,0.37922550367254,63298,8362,2,45919049,0.98,0.86,0.93,estabilizando,1,SP,São Paulo,35,0.62077449632746,2,2020-09-15 21:29:19
20,79059.0,DataSUS,DataSUS,0,151293.0,1,BR,Brasil,2221.0,estabilizando,70,13.924313341391786,91,3761.0,2020-09-12,2020-06-01,2020-06-01,2020-09-04,2020-08-24,20.0,estabilizando,0.3270958601645957,0.308603112144518,19025,2063,2,11433957,1.13,0.96,1.05,estabilizando,2,PR,Paraná,41,0.6913968878554819,2,2020-09-15 21:29:19
21,39525.0,DataSUS,DataSUS,0,192057.0,3,BR,Brasil,842.0,estabilizando,48,17.528781033018706,57,2543.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,14.0,estabilizando,0.24145864469402306,0.6008873720136518,10702,835,3,7164788,1.61,1.47,1.55,crescendo,2,SC,Santa Catarina,42,0.39911262798634817,0,2020-09-15 21:29:19
22,71081.0,DataSUS,DataSUS,0,157907.0,2,BR,Brasil,1004.0,estabilizando,68,17.522704761673722,91,4080.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,25.0,estabilizando,0.4069528643988229,0.36486590038314176,20879,1659,2,11377239,1.2,1.03,1.13,estabilizando,2,RS,Rio Grande do Sul,43,0.6351340996168582,2,2020-09-15 21:29:19
23,34038.0,DataSUS,DataSUS,0,59077.0,1,BR,Brasil,406.0,estabilizando,48,28.71550990181311,91,1065.0,2020-09-12,2020-06-01,2020-06-01,2020-09-04,2020-08-24,10.0,estabilizando,0.5073793102951939,0.34555189456342666,3722,374,3,2778986,1.18,0.97,1.08,estabilizando,3,MS,Mato Grosso do Sul,50,0.6544481054365734,2,2020-09-15 21:29:19
24,101740.0,DataSUS,DataSUS,0,65062.0,2,BR,Brasil,1657.0,estabilizando,30,41.581694296916666,91,2167.0,2020-08-10,2020-06-01,2020-06-01,2020-08-10,2020-07-22,57.0,estabilizando,1.1106436395131996,0.14007207207207206,5074,529,3,3484466,1.22,1.03,1.14,estabilizando,3,MT,Mato Grosso,51,0.8599279279279279,3,2020-09-15 21:29:19
25,123048.0,DataSUS,DataSUS,0,168025.0,1,BR,Brasil,4491.0,estabilizando,37,40.89705363964258,91,3877.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,72.0,estabilizando,0.8064568985833431,0.25390914766259043,11495,1058,3,7018354,1.11,0.94,1.04,estabilizando,3,GO,Goiás,52,0.7460908523374096,3,2020-09-15 21:29:19
26,74035.0,DataSUS,DataSUS,0,156279.0,1,BR,Brasil,930.0,estabilizando,48,29.363890705569123,91,2688.0,2020-09-14,2020-06-01,2020-06-01,2020-09-04,2020-08-26,27.0,estabilizando,0.9252908862495804,0.3086640086070502,4951,1191,3,3015268,0.98,0.8,0.9,estabilizando,3,DF,Distrito Federal,53,0.6913359913929498,2,2020-09-15 21:29:19
